	Date	Amount
0	2016-09-01	336
1	2016-09-02	391
2	2016-09-03	417
3	2016-09-04	390
4	2016-09-05	258
5	2016-09-06	385
6	2016-09-07	514
7	2016-09-08	600
8	2016-09-09	614
9	2016-09-10	665
10	2016-09-11	515
11	2016-09-12	497
12	2016-09-13	630
13	2016-09-14	631
14	2016-09-15	686
15	2016-09-16	767
16	2016-09-17	580
17	2016-09-18	516
18	2016-09-19	606
19	2016-09-20	617
20	2016-09-21	556
21	2016-09-22	583
22	2016-09-23	576
23	2016-09-24	627
24	2016-09-25	505
25	2016-09-26	553
26	2016-09-27	568
27	2016-09-28	745
28	2016-09-29	561
29	2016-09-30	589
30	2016-10-01	559
31	2016-10-02	499
32	2016-10-03	520
33	2016-10-04	652
34	2016-10-05	480
35	2016-10-06	573
36	2016-10-07	605
37	2016-10-08	631
38	2016-10-09	519
39	2016-10-10	575
40	2016-10-11	672
41	2016-10-12	520
42	2016-10-13	467
43	2016-10-14	643
44	2016-10-15	505
45	2016-10-16	666
46	2016-10-17	597
47	2016-10-18	706
48	2016-10-19	671
49	2016-10-20	710
50	2016-10-21	733
51	2016-10-22	643
52	2016-10-23	623
53	2016-10-24	586
54	2016-10-25	631
55	2016-10-26	550
56	2016-10-27	598
57	2016-10-28	745
58	2016-10-29	572
59	2016-10-30	587
60	2016-10-31	672
61	2016-11-01	576
62	2016-11-02	558
63	2016-11-03	546
64	2016-11-04	641
65	2016-11-05	519
66	2016-11-06	714
67	2016-11-07	670
68	2016-11-08	613
69	2016-11-09	588
70	2016-11-10	559
71	2016-11-11	780
72	2016-11-12	722
73	2016-11-13	588
74	2016-11-14	616
75	2016-11-15	579
76	2016-11-16	559
77	2016-11-17	574
78	2016-11-18	642
79	2016-11-19	554
80	2016-11-20	525
81	2016-11-21	629
82	2016-11-22	523
83	2016-11-23	718
84	2016-11-24	381
85	2016-11-25	610
86	2016-11-26	778
87	2016-11-27	556
88	2016-11-28	633
89	2016-11-29	654
90	2016-11-30	483
91	2016-12-01	545
92	2016-12-02	620
93	2016-12-03	669
94	2016-12-04	665
95	2016-12-05	612
96	2016-12-06	513
97	2016-12-07	471
98	2016-12-08	502
99	2016-12-09	578
100	2016-12-10	470
101	2016-12-11	409
102	2016-12-12	581
103	2016-12-13	556
104	2016-12-14	550
105	2016-12-15	804
106	2016-12-16	510
107	2016-12-17	540
108	2016-12-18	479
109	2016-12-19	636
110	2016-12-20	641
111	2016-12-21	607
112	2016-12-22	615
113	2016-12-23	520
114	2016-12-24	462
115	2016-12-25	327
116	2016-12-26	446
117	2016-12-27	657
118	2016-12-28	524
119	2016-12-29	592
120	2016-12-30	412
121	2016-12-31	482
122	2017-01-01	643
123	2017-01-02	641
124	2017-01-03	554
125	2017-01-04	622
126	2017-01-05	518
127	2017-01-06	644
128	2017-01-07	665
129	2017-01-08	628
130	2017-01-09	634
131	2017-01-10	569
132	2017-01-11	604
133	2017-01-12	600
134	2017-01-13	616
135	2017-01-14	610
136	2017-01-15	567
137	2017-01-16	711
138	2017-01-17	660
139	2017-01-18	547
140	2017-01-19	658
141	2017-01-20	636
142	2017-01-21	579
143	2017-01-22	453
144	2017-01-23	549
145	2017-01-24	583
146	2017-01-25	478
147	2017-01-26	583
148	2017-01-27	417
149	2017-01-28	425
150	2017-01-29	318
151	2017-01-30	353
152	2017-01-31	313
153	2017-02-01	427
154	2017-02-02	454
155	2017-02-03	474
156	2017-02-04	387
157	2017-02-05	440
158	2017-02-06	378
159	2017-02-07	404
160	2017-02-08	361
161	2017-02-09	399
162	2017-02-10	479
163	2017-02-11	420
164	2017-02-12	450
165	2017-02-13	573
166	2017-02-14	499
167	2017-02-15	549
168	2017-02-16	578
169	2017-02-17	577
170	2017-02-18	541
171	2017-02-19	529
172	2017-02-20	661
173	2017-02-21	520
174	2017-02-22	677
175	2017-02-23	522
176	2017-02-24	758
177	2017-02-25	663
178	2017-02-26	513
179	2017-02-27	511
180	2017-02-28	605
181	2017-03-01	606
182	2017-03-02	589
183	2017-03-03	496
184	2017-03-04	453
185	2017-03-05	426
186	2017-03-06	607
187	2017-03-07	582
188	2017-03-08	468
189	2017-03-09	657
190	2017-03-10	583
191	2017-03-11	593
192	2017-03-12	450
193	2017-03-13	630
194	2017-03-14	525
195	2017-03-15	631
196	2017-03-16	563
197	2017-03-17	683
198	2017-03-18	658
199	2017-03-19	417
200	2017-03-20	662
201	2017-03-21	655
202	2017-03-22	618
203	2017-03-23	514
204	2017-03-24	667
205	2017-03-25	727
206	2017-03-26	567
207	2017-03-27	603
208	2017-03-28	679
209	2017-03-29	662
210	2017-03-30	636
211	2017-03-31	635
212	2017-04-01	669
213	2017-04-02	567
214	2017-04-03	532
215	2017-04-04	478
216	2017-04-05	540
217	2017-04-06	601
218	2017-04-07	575
219	2017-04-08	535
220	2017-04-09	589
221	2017-04-10	540
222	2017-04-11	659
223	2017-04-12	531
224	2017-04-13	653
225	2017-04-14	608
226	2017-04-15	494
227	2017-04-16	447
228	2017-04-17	578
229	2017-04-18	602
230	2017-04-19	555
231	2017-04-20	589
232	2017-04-21	567
233	2017-04-22	528
234	2017-04-23	468
235	2017-04-24	571
236	2017-04-25	676
237	2017-04-26	590
